时间,swap已用MB,压缩内存MB,空闲%,内存占用前三
2026-08-17 03:23,908.44,2694,86,Claude 1905MB / Application 773MB / ToDesk 264MB
2026-08-17 03:23,908.44,2694,85,Claude 1875MB / Application 773MB / ToDesk 264MB
2026-08-17 03:33,908.44,2694,85,Claude 1883MB / Application 773MB / ToDesk 264MB
2026-08-17 03:43,908.44,2694,86,Claude 1920MB / Application 773MB / ToDesk 264MB
2026-08-17 03:53,908.44,2693,85,Claude 1864MB / Application 773MB / ToDesk 264MB
2026-08-17 04:03,908.44,2691,85,Claude 1906MB / Application 773MB / ToDesk 266MB
2026-08-17 04:13,908.44,2687,85,Claude 1864MB / Application 773MB / ToDesk 266MB
2026-08-17 04:23,908.44,2681,85,Claude 1902MB / Application 773MB / contactsd 366MB
2026-08-17 04:33,908.44,2681,85,Claude 1860MB / Application 773MB / ToDesk 266MB
2026-08-17 04:43,908.44,2681,85,Claude 1902MB / Application 773MB / ToDesk 266MB
2026-08-17 04:53,908.44,2672,85,Claude 1861MB / Application 773MB / ToDesk 268MB
2026-08-17 05:03,908.44,2671,86,Claude 1903MB / Application 773MB / ToDesk 268MB
2026-08-17 05:13,908.44,2671,86,Claude 1865MB / Application 773MB / ToDesk 268MB
2026-08-17 05:23,908.44,2670,86,Claude 1900MB / Application 773MB / ToDesk 268MB
2026-08-17 05:33,908.44,2670,86,Claude 1859MB / Application 773MB / ToDesk 268MB
2026-08-17 05:43,908.44,2670,86,Claude 1832MB / Application 773MB / ToDesk 268MB
2026-08-17 05:53,908.44,2670,86,Claude 1859MB / Application 773MB / ToDesk 268MB
2026-08-17 06:03,908.44,2666,86,Claude 1898MB / Application 773MB / ToDesk 268MB
2026-08-17 06:13,900.44,2650,87,Claude 1859MB / Application 773MB / ToDesk 268MB
2026-08-17 06:23,900.44,2650,87,Claude 1901MB / Application 773MB / ToDesk 268MB
2026-08-17 06:33,900.44,2650,86,Claude 1854MB / Application 773MB / ToDesk 268MB
2026-08-17 06:43,900.44,2650,86,Claude 1898MB / Application 773MB / ToDesk 268MB
2026-08-17 06:53,900.44,2649,86,Claude 1841MB / Application 773MB / ToDesk 268MB
2026-08-17 07:03,884.44,2620,86,Claude 1841MB / Application 773MB / ToDesk 268MB
2026-08-17 07:13,852.44,2565,86,Claude 1842MB / Application 773MB / ToDesk 268MB
2026-08-17 07:23,836.44,2553,86,Claude 1844MB / Application 782MB / ToDesk 268MB
2026-08-17 07:33,836.44,2553,86,Claude 1842MB / Application 782MB / ToDesk 268MB
2026-08-17 07:43,836.44,2552,86,Claude 1842MB / Application 782MB / ToDesk 268MB
2026-08-17 07:53,836.44,2549,86,Claude 1847MB / Application 782MB / ToDesk 268MB
2026-08-17 08:03,836.44,2548,86,Claude 1846MB / Application 782MB / ToDesk 268MB
2026-08-17 08:13,836.44,2548,86,Claude 1847MB / Application 782MB / ToDesk 268MB
2026-08-17 08:23,836.44,2548,86,Claude 1848MB / Application 782MB / ToDesk 268MB
2026-08-17 08:33,836.44,2548,86,Claude 1844MB / Application 719MB / ToDesk 268MB
2026-08-17 08:43,836.44,2546,86,Claude 1870MB / Application 770MB / ToDesk 268MB
2026-08-17 08:53,836.44,2545,86,Claude 1871MB / Application 770MB / ToDesk 268MB
2026-08-17 09:03,836.44,2538,85,Claude 1876MB / Application 770MB / ToDesk 268MB
2026-08-17 09:13,836.44,2538,86,Claude 1870MB / Application 771MB / ToDesk 268MB
2026-08-17 09:23,836.44,2537,86,Claude 1878MB / Application 771MB / ToDesk 268MB
2026-08-17 09:33,836.44,2536,86,Claude 1879MB / Application 771MB / ToDesk 268MB
2026-08-17 09:43,836.44,2535,86,Claude 1919MB / Application 772MB / ToDesk 268MB
2026-08-17 09:53,836.44,2533,86,Claude 1920MB / Application 773MB / ToDesk 268MB
2026-08-17 10:03,836.44,2532,86,Claude 1867MB / Application 818MB / ToDesk 268MB
2026-08-17 10:13,836.44,2973,85,Google 2083MB / Claude 2023MB / Application 822MB
2026-08-17 10:23,828.44,2786,84,Google 2169MB / Claude 2026MB / Application 833MB
2026-08-17 10:33,828.44,2768,85,Google 2148MB / Claude 2022MB / Application 835MB
2026-08-17 10:43,828.44,2766,85,Google 2157MB / Claude 1991MB / Application 835MB
2026-08-17 10:53,828.44,2733,86,Google 2157MB / Claude 1991MB / Application 835MB
2026-08-17 11:03,828.44,2730,86,Google 2158MB / Claude 2023MB / Application 835MB
2026-08-17 11:13,828.44,2722,86,Google 2158MB / Claude 2019MB / Application 836MB
2026-08-17 11:23,828.44,2721,86,Google 2159MB / Claude 2059MB / Application 836MB
2026-08-17 11:33,828.44,2721,86,Google 2159MB / Claude 2060MB / Application 836MB
2026-08-17 11:43,828.44,2719,85,Google 2159MB / Claude 2061MB / Application 836MB
2026-08-17 11:53,828.44,2711,85,Google 2159MB / Claude 1901MB / Application 841MB
2026-08-17 12:03,828.44,2700,85,Google 2159MB / Claude 1908MB / Application 841MB
2026-08-17 12:13,828.44,2699,85,Google 2160MB / Claude 1907MB / Application 841MB
2026-08-17 12:23,828.44,2696,85,Google 2160MB / Claude 1907MB / Application 841MB
2026-08-17 12:33,828.44,2696,85,Google 2160MB / Claude 1908MB / Application 841MB
2026-08-17 12:43,828.44,2692,86,Google 2160MB / Claude 1936MB / Application 851MB
2026-08-17 12:53,820.44,2684,86,Google 2159MB / Claude 1895MB / Application 951MB
2026-08-17 13:03,820.44,2680,86,Google 2159MB / Claude 1932MB / Application 965MB
2026-08-17 13:13,820.44,2674,86,Google 2160MB / Claude 1976MB / Application 1036MB
2026-08-17 13:23,820.44,2674,86,Google 2160MB / Claude 1980MB / Application 1029MB
2026-08-17 13:33,820.44,2677,83,Google 2156MB / Claude 2045MB / Application 1077MB
2026-08-17 13:43,820.44,2674,84,Google 2153MB / Claude 2059MB / Application 1079MB
2026-08-17 13:53,812.44,2670,86,Google 2153MB / Claude 2047MB / Application 1083MB
2026-08-17 14:03,812.44,2668,84,Google 2148MB / Claude 2067MB / Application 989MB
2026-08-17 14:13,812.44,2663,84,Google 2146MB / Claude 2037MB / Application 1085MB
2026-08-17 14:23,812.44,2629,84,Claude 2040MB / Google 1625MB / Application 1085MB
2026-08-17 14:33,812.44,2617,84,Claude 2121MB / Google 1625MB / Application 1085MB
2026-08-17 14:43,812.44,2878,81,Claude 2119MB / Google 1900MB / Application 1043MB
2026-08-17 14:53,788.44,2706,82,Google 2233MB / Claude 2088MB / Application 973MB
2026-08-17 15:03,788.44,2762,82,Google 2242MB / Claude 2087MB / Application 974MB
2026-08-17 15:13,788.44,2801,84,Google 2238MB / Claude 2107MB / Application 978MB
2026-08-17 15:23,788.44,2768,85,Google 2237MB / Claude 2080MB / Application 932MB
2026-08-17 15:33,788.44,2765,85,Google 2237MB / Claude 2156MB / Application 1058MB
2026-08-17 15:43,788.44,2763,83,Google 2240MB / Claude 2164MB / Application 986MB
2026-08-17 15:53,572.94,2281,83,Google 2234MB / Claude 1774MB / Application 857MB
2026-08-17 16:03,572.94,2278,83,Google 2233MB / Claude 1763MB / Application 865MB
